,y
13133,0
8280,0
8045,0
12605,4
5109,0
10803,3
8165,2
2717,0
16902,1
14656,0
16998,0
14112,3
4635,4
8935,4
9460,3
2949,4
13882,2
11999,3
1395,0
12105,2
2882,4
9016,2
233,0
2944,4
1257,3
3449,4
971,0
1158,0
9057,0
6206,3
8231,4
9025,3
14363,4
11310,0
13072,0
12873,0
15770,2
6890,3
9216,4
9457,0
1345,1
7062,2
2073,4
12587,3
17106,1
9896,4
1355,0
4646,0
139,0
6612,1
9937,0
17425,1
3548,4
15818,0
12353,1
2612,3
864,3
15727,2
6252,2
7665,4
12430,1
769,1
15283,4
17158,2
17417,0
5797,3
8616,4
12750,3
5305,3
11189,0
13106,0
17132,3
11855,4
10749,1
11582,4
1067,2
2545,4
6280,2
8684,3
9703,0
17392,3
12699,0
8579,4
2034,4
15784,4
9157,0
7921,4
3691,4
1162,1
200,0
923,3
8087,3
4273,4
13700,0
9635,1
12453,0
3289,4
15703,0
10115,1
15492,2
8955,2
3331,0
10077,1
6546,4
4849,4
9210,3
12927,0
14053,4
1298,2
10414,2
16784,4
1592,3
10168,1
630,3
3220,0
10736,1
10409,2
17347,4
3915,4
11281,4
3930,4
1149,3
2202,0
3675,3
12688,0
4795,4
10011,3
14852,0
1847,4
4187,4
1058,3
7099,3
542,4
16373,0
16262,4
168,3
5539,0
1684,4
8040,4
3017,0
1709,3
14183,1
17580,1
2981,4
5346,3
2667,2
6338,4
204,1
10789,1
3986,1
14991,3
2858,4
3358,4
11842,4
10899,4
14160,2
13747,2
16384,4
272,0
6904,0
7641,4
9679,4
11097,4
14983,2
4167,0
6972,0
2614,2
16826,3
16662,4
6416,4
5144,0
7672,0
7916,4
4241,1
4376,3
91,3
12580,3
16436,0
10545,1
11976,2
6708,0
11588,0
11865,0
5084,1
1206,3
28,4
5692,0
15667,1
14085,3
13344,0
966,3
5001,1
16917,4
9840,4
12553,3
14164,4
14067,4
14921,3
10397,0
9815,0
17878,4
8365,1
9132,3
6086,2
6066,2
7596,3
14233,3
5113,0
1558,0
284,0
5415,4
15423,4
15075,1
4518,4
13741,4
14480,3
8752,4
12554,0
1405,4
347,0
727,0
14603,1
13222,2
5312,1
17022,0
9548,0
6572,2
2627,3
2665,3
10973,0
749,0
4509,4
8177,4
5988,2
14927,0
14678,1
6592,3
1053,1
4433,1
7643,2
10502,4
7640,4
2833,4
8772,1
12728,4
5791,1
1752,2
5121,3
123,3
12185,2
14318,4
9005,2
203,4
16874,0
3447,1
7289,3
5640,0
16348,4
17624,1
14757,0
16474,4
7129,4
6082,0
2726,2
16237,3
970,0
17597,4
13793,2
5835,3
3857,4
9004,4
8946,0
7770,1
10990,1
6144,0
6824,0
13936,4
5178,1
13480,4
16616,0
6396,3
2633,3
7638,2
318,1
17771,3
4471,3
9225,1
17696,4
10889,4
13151,4
443,0
4122,4
11538,1
13389,0
3797,2
11562,2
4111,0
10244,2
6657,2
4424,0
7543,4
11065,4
16842,0
14951,2
8032,2
16089,0
13084,0
7593,3
9963,0
6957,1
16079,4
3072,4
16167,0
3868,4
15010,4
15919,0
16539,0
6590,0
6737,1
10751,1
15039,0
9237,0
3192,2
13325,3
7482,3
11162,3
10807,0
11722,0
5906,3
4488,4
5753,4
14413,4
12620,3
17088,1
13830,2
3010,1
16637,0
13086,4
2953,4
17151,1
13992,1
14593,3
6109,3
5908,0
16136,0
17360,3
1005,0
11839,0
7072,0
16809,0
14738,4
4890,4
2486,0
7093,0
6063,1
13585,2
5303,1
349,4
15546,4
11187,1
8643,2
3589,3
15741,2
8442,3
3964,4
16075,1
10745,0
11149,0
10114,1
11763,4
3688,4
13300,3
17354,2
16567,4
2139,1
5373,0
16199,0
1129,3
4367,3
2741,0
12107,4
17482,2
5339,0
2560,3
2740,1
17720,4
3596,3
11082,4
8595,0
10266,1
14407,0
2668,0
10630,4
2108,3
2130,1
16409,0
15421,0
8890,1
2426,3
15245,1
16995,2
5006,4
13287,4
2117,3
4912,2
12320,2
9974,2
890,0
10084,3
7083,2
7133,0
5053,2
9269,0
13555,4
5153,2
9664,1
11379,3
9364,0
220,4
7350,3
10499,4
4137,0
940,0
13425,2
8076,0
17887,3
8519,2
10231,2
13889,2
10081,3
11289,2
17153,0
12632,3
6099,4
538,4
17171,0
13953,4
15125,4
5054,4
10018,1
1188,4
12279,4
7512,3
1163,3
17446,2
5518,0
2429,0
3157,0
7260,1
2866,4
3796,3
77,3
6022,3
7813,4
1817,2
10340,4
12816,4
16557,4
16234,4
11242,0
6226,4
9833,4
8004,1
9898,0
14590,0
11734,3
11752,1
7942,3
10156,3
14014,2
14279,0
17299,1
3935,0
10388,3
12348,3
9051,4
13171,4
16006,3
6322,1
11853,4
4791,2
715,0
8272,0
131,3
15896,4
9550,4
3459,3
1879,1
6236,3
7686,0
5812,0
4685,0
14496,4
2503,4
11397,4
14379,3
12171,3
5826,0
4580,0
16707,4
11615,0
3450,0
10542,0
8552,4
239,4
5252,4
11372,0
6970,3
3486,0
14312,0
5124,2
8830,0
8176,0
15141,3
9293,3
13721,4
724,4
3465,3
7066,4
2112,1
14854,3
15731,0
10655,4
9731,0
6731,0
17221,0
4521,2
1582,4
14964,4
17370,4
17891,1
1354,3
7828,2
16754,4
9868,1
14863,0
11253,3
8049,0
10728,1
8574,1
2553,4
8122,0
11272,3
1728,2
8989,1
5617,4
13397,4
1127,0
2773,2
15596,4
3628,1
13058,2
9752,3
3955,1
16538,4
8212,0
15027,4
7397,0
11922,0
1363,1
16232,3
13170,1
675,0
9272,0
16036,2
8601,4
4404,4
10179,3
9066,0
9333,0
11066,4
10157,4
10132,1
7763,4
2977,1
14010,3
5033,3
10562,4
6181,4
6954,3
14602,2
6922,0
17704,0
10916,4
2729,0
15887,0
9195,1
6371,3
6217,4
9837,3
13227,0
14875,3
6156,2
7457,2
11001,3
672,0
7068,0
2732,3
2434,4
9034,0
3950,3
13642,4
6469,4
3065,4
11968,0
14397,2
7842,1
7145,0
6299,0
16605,0
1202,1
6704,1
13474,0
12498,0
3241,0
12635,1
10196,4
13855,3
1159,3
7602,4
11702,3
9725,3
2589,2
8363,0
8578,4
17569,0
5698,2
13560,1
14344,4
1249,3
3348,4
8806,3
14989,2
4223,0
15823,1
14729,2
17029,4
6317,0
2661,1
9851,0
1499,4
511,0
16794,2
967,0
7203,3
12922,1
14576,4
5527,0
3483,1
2120,1
16944,1
9314,3
15183,2
2220,4
17457,1
12259,4
7395,3
6746,4
10119,4
3504,2
17413,1
17075,0
8503,4
13408,3
3194,1
5269,4
4567,4
8038,0
6522,4
15661,4
8269,1
4865,2
15049,2
12921,4
12753,0
15144,4
15914,4
14485,4
17690,4
10454,3
2032,3
9024,4
12563,1
3533,1
12604,3
13739,3
9467,0
6323,1
6595,3
16745,2
13923,4
10568,0
980,1
10403,4
15334,4
8670,0
7877,0
5307,2
8274,2
13079,0
4044,4
16174,3
4087,0
17295,3
525,3
10327,4
14659,0
12100,4
15246,0
3642,0
17926,0
15538,4
17378,1
9852,1
17297,4
8145,1
507,4
11210,2
4128,1
15644,3
9541,1
8707,0
4796,3
7599,4
4484,2
11821,4
16388,0
7509,2
14821,4
13409,4
3891,0
11981,0
1097,1
9078,3
11464,3
9790,2
10054,1
15029,3
10584,1
1920,1
13488,2
2492,0
7668,4
16304,0
9368,1
10952,4
12046,0
13394,4
15663,1
9771,0
12181,0
794,3
12937,0
13173,1
9429,1
17689,1
3491,1
9215,4
1356,3
8881,3
3646,0
5504,3
11685,2
10089,2
13201,0
8709,3
4648,0
16685,4
12997,0
13750,4
12246,0
11813,0
6456,3
6463,4
9659,0
783,0
15803,4
4202,4
369,3
5704,4
14219,3
13901,1
14554,4
6664,2
14700,4
11243,0
15573,0
17309,4
11833,1
17857,3
13860,3
1274,2
6626,2
16727,4
2163,4
16501,0
9167,2
9264,2
8594,4
16463,4
2565,0
15601,1
2025,0
11022,3
12138,4
3294,3
1056,2
7130,0
7986,1
5686,2
3179,4
3489,0
6968,0
15285,2
15471,0
15386,4
13246,2
14763,0
2603,0
9059,2
433,2
15563,1
5779,4
14158,4
16155,0
14830,0
14584,4
17005,1
8791,0
12048,2
3736,4
11559,1
2999,2
3080,0
13688,3
9100,2
13665,0
9652,4
6410,4
1742,4
10267,1
4815,0
11489,4
8454,3
2707,0
14807,3
17226,0
12204,0
717,4
4893,4
2799,4
10830,4
11173,0
178,0
1972,2
13446,2
831,0
11820,3
5286,0
12235,3
14447,1
4442,0
9601,0
7655,1
10037,0
3234,3
5402,4
6614,2
13727,0
10543,4
17115,4
14777,0
11560,4
8008,0
16482,1
8676,4
7920,3
1344,3
7669,3
9419,4
11118,4
17523,4
6882,2
8281,0
2697,4
1721,1
16197,0
8537,4
15527,1
10135,4
7021,2
4311,4
14525,0
6845,2
1646,3
15664,1
3764,3
5401,0
14730,4
13837,4
3469,3
5898,1
10628,4
16342,4
7721,0
4946,1
2300,0
3920,0
11211,4
10421,3
8426,4
15269,4
3132,4
12841,0
12949,0
2088,0
3247,4
10103,0
2435,2
13517,0
2855,3
15097,0
17126,3
4166,3
6163,2
5517,2
17163,0
17209,1
13526,4
6227,0
2528,2
4334,1
13358,0
3239,0
14377,4
16423,3
3785,2
1387,1
7142,1
15657,1
7632,0
596,0
13187,1
7298,0
15060,0
2315,0
5326,4
13796,2
9772,0
3453,3
649,4
10146,3
3774,0
12901,4
9481,0
17260,0
5740,1
12572,3
15567,3
8999,4
17522,0
16819,0
838,1
7101,0
14362,4
15018,3
4045,2
4286,4
1955,4
13031,0
7319,0
2631,4
8483,2
10427,4
10583,4
635,0
3003,2
16984,0
366,1
7100,4
17223,0
1717,0
6383,3
7552,0
9424,4
3138,4
5313,0
16300,1
10161,0
7501,4
5155,1
1319,4
15220,0
10796,4
1059,2
2561,0
7967,1
2896,2
11495,0
10572,4
16856,3
7254,4
10505,0
1901,0
14230,3
6028,0
6185,4
12151,2
14669,0
12840,0
15467,3
14519,1
8565,0
14786,0
8377,3
14079,3
14285,1
7051,0
4340,0
2701,0
6838,2
11333,1
10239,4
7592,1
15162,2
11959,4
13602,0
9930,0
10836,1
11268,1
4636,4
5294,1
6679,1
806,4
16584,0
17184,0
7972,0
9585,2
9224,4
10290,0
12813,2
1649,0
13720,4
5128,3
11508,0
2380,3
17761,4
13356,0
810,0
13288,2
16165,0
13788,0
1288,3
13636,1
4378,4
383,1
13903,4
3151,4
10844,4
7414,4
13087,3
5731,3
4499,0
5869,2
11653,4
13243,1
451,1
14981,0
10988,0
14712,2
10783,3
2474,2
12612,2
14156,0
10671,4
4856,1
14091,0
12470,1
4465,3
11260,1
15357,4
16929,2
9766,1
7463,1
8354,1
16833,0
4925,4
2646,3
8726,2
11737,0
6100,1
5781,0
14040,1
2617,0
12038,0
16802,4
8854,0
8577,0
12415,0
12215,3
10062,2
15374,3
6238,4
166,2
9683,3
544,3
8630,0
12440,4
4101,3
994,0
10792,4
8179,0
2786,1
16045,4
1718,0
9611,0
10742,3
12778,4
8916,0
17540,3
11721,0
2853,3
5531,2
2520,4
12781,1
10860,0
10539,0
8575,0
14105,0
8500,0
15827,0
15725,4
4745,4
633,0
13598,4
15067,0
8172,0
7844,4
9190,2
4627,0
5162,3
12269,1
9317,2
7065,4
10021,1
8894,1
12823,4
8848,4
10732,4
1783,3
11456,2
7071,4
17423,0
4468,1
13960,0
412,0
7393,1
17502,3
11347,1
1339,1
5213,4
16541,4
2908,3
9545,4
13244,1
7033,4
16847,1
5353,1
4709,0
11072,0
15228,0
11077,4
2595,1
2151,0
345,0
11432,4
7274,1
5805,1
9589,0
9979,4
9281,0
3053,4
11635,0
2153,2
9765,1
14420,2
16999,0
12461,4
8547,4
13817,2
2678,0
12135,2
10965,1
15372,4
15054,3
16752,4
16599,2
9983,0
11645,4
5604,4
15758,0
1207,0
15429,3
8309,1
6306,0
16790,0
12174,0
3571,0
14739,4
5032,0
2954,0
10517,1
1169,3
4565,3
14325,4
4005,0
3379,1
13192,0
361,4
12860,0
14345,4
36,4
7870,0
10752,3
13538,2
17159,0
6634,1
16611,1
7801,1
7369,4
12710,0
4280,0
3833,2
16261,4
14175,4
10027,2
14375,3
11823,2
3692,3
4432,0
4481,3
7557,1
7508,0
12555,4
16025,4
4656,0
7693,3
17464,0
646,3
10061,2
10833,4
12886,1
457,3
8800,2
9497,1
9275,0
9346,4
7958,0
8015,4
16855,2
13360,4
10292,3
3323,3
16718,0
5344,4
9367,4
2991,4
10171,1
11301,0
4364,0
4159,3
14155,4
9178,0
12785,1
14441,4
8287,0
3167,4
15274,4
12157,0
5923,4
4681,2
5643,1
14594,0
4366,1
9150,2
7633,0
16863,4
17350,0
6642,0
17793,0
3202,4
4676,0
14899,2
14877,1
15146,0
6929,0
16187,4
3875,0
6840,4
1878,4
8229,2
14856,4
13006,0
3063,4
15129,2
3285,4
6653,2
5919,0
13703,0
13339,3
5168,4
951,2
7618,4
11772,4
17447,1
10896,3
5322,4
13295,2
11697,1
15556,1
17605,2
1278,4
11086,3
13654,2
11616,0
6365,4
13198,4
2,2
16192,4
13528,1
16609,3
2609,1
3983,4
588,0
11292,0
6851,0
754,4
11811,0
16087,0
15154,1
3670,4
10166,1
15354,2
6842,0
8757,1
554,2
17807,0
15270,2
7470,2
13670,3
11296,3
3989,1
5131,4
17494,4
10318,4
3466,0
3135,2
15489,4
2396,4
3561,2
14562,2
12433,1
8069,3
12833,0
1173,4
12091,4
9769,4
12559,3
9804,0
5574,3
348,0
7577,2
16757,0
6936,4
12610,4
10039,4
3554,4
14434,1
7258,4
10049,4
16780,4
2154,3
4964,2
6939,0
15754,2
6254,4
15886,4
4195,4
17717,1
8641,3
17459,0
11664,2
8893,0
10650,1
16298,3
9416,4
208,0
6153,1
1054,4
12865,0
16309,0
6792,0
4989,3
1773,4
5929,0
13439,3
14217,4
4842,4
7366,3
14957,3
15286,4
4542,4
9068,1
16531,4
1869,0
15012,4
2529,0
3185,2
7431,4
7978,1
9316,4
879,4
13653,3
7954,0
9566,3
16357,1
2524,3
10855,0
8988,1
9893,1
13155,4
7993,2
6041,1
10367,1
5970,4
10284,1
12031,1
14600,4
13186,4
4512,1
8386,2
16060,0
11606,3
10217,1
313,3
7723,4
6625,0
10188,3
6087,4
5015,4
12538,0
13772,3
12961,0
17843,0
14174,1
3977,3
13643,0
4633,4
9523,1
11801,4
10208,1
279,0
7119,3
14792,2
5966,0
413,4
11906,3
15131,3
4290,0
9997,3
488,4
7671,2
9515,4
8858,0
9390,3
16217,3
4257,3
16016,0
17373,0
14587,2
15288,0
14661,4
15178,4
14598,4
3996,4
8769,2
9866,1
16528,3
4878,2
2437,4
9987,1
7702,0
12843,0
6276,1
1805,3
11304,4
2259,4
9743,0
2129,1
10262,0
11157,3
2892,1
11114,0
105,1
12479,3
8958,4
847,3
17893,1
11493,3
2714,3
8001,1
17810,0
14167,3
12910,1
4504,4
17757,0
14658,4
12752,0
4832,4
2119,2
4055,0
12508,4
17806,4
371,1
1964,1
6717,0
10606,1
12654,1
16272,0
10186,2
16945,4
6505,2
10708,0
15112,0
11311,1
13571,2
11732,4
5947,4
11490,4
8930,4
3512,3
9506,3
6775,0
11627,4
6907,4
7673,4
17172,0
751,0
4945,0
16777,0
2689,4
3357,0
7675,0
8427,0
3889,0
8852,1
16978,4
11597,1
12463,0
15720,0
12072,2
15431,0
5199,1
4528,0
1154,4
339,0
10471,2
305,4
4541,3
5228,1
15651,1
12164,4
6286,4
2224,4
13182,2
13332,4
3110,1
15711,4
1885,2
5525,1
10865,4
9495,0
13205,4
5017,3
1531,2
7334,0
17883,1
2721,1
14845,3
5745,1
11487,4
7091,1
6822,2
1373,0
4389,0
2398,4
12628,0
4264,4
7085,0
16817,0
6212,1
2574,4
15730,0
11431,3
1812,4
7941,1
7913,4
4485,0
104,4
9031,0
5358,2
11240,3
6190,2
4362,0
4731,4
764,0
11765,3
12769,4
1043,1
4701,2
8516,1
12601,0
8282,1
4604,1
15888,4
9254,4
16591,4
3810,1
7609,4
7197,0
16975,3
12960,0
16522,4
10822,1
11116,2
1932,4
4938,4
11009,0
6014,4
9921,4
4714,4
15641,0
10041,4
16311,2
13231,1
8738,3
11509,4
4994,3
7391,4
16005,4
17191,2
13179,4
11858,2
8352,4
4821,0
11655,4
10460,1
5928,0
14445,4
17613,1
6694,1
4572,3
3863,2
7486,1
4240,1
1528,0
2490,2
15430,3
9377,4
11483,0
5105,2
2760,0
11540,2
1082,2
11141,2
2279,0
15051,0
13693,3
8369,0
3997,2
8368,1
1403,1
4975,4
2480,3
926,4
229,4
15364,4
2258,0
15724,3
15170,3
13971,4
15845,4
1634,1
4115,3
12357,4
13622,0
16922,1
9141,3
5938,3
1604,4
2537,1
15611,3
27,3
539,2
9730,4
3103,4
5051,3
6088,4
15456,3
4957,0
50,4
4032,1
12252,4
13046,3
13263,4
2684,1
12093,1
14502,1
